Trait	pvalue_const	ssr_const	df_const	pvalue_linear	ssr_linear	df_linear	pvalue_quadratic	ssr_quadratic	df_quadratic	fstat_linearConstant	p_value_linearConstant	fstat_quadraticLinear	p_value_quadraticLinear
Educational attainment (years of education)	0.13302043016412096	42.327369899803344	2.0	0.037757985002102264	0.14871999409979705	1.0	nan	1.1705553562889055e-23	0.0	283.6111590846352	0.03775798500210248	0.0	nan
Eosinophil counts	0.09409433629368837	27.66004333554897	2.0	0.02128411227694396	0.030905934048069635	1.0	nan	1.1593330604942767e-24	0.0	893.9751621331956	0.0212841122769436	0.0	nan
Glaucoma	0.14068412465727528	14.984074058889398	3.0	0.0023851626414585223	0.07139366291452082	2.0	0.5367471373246602	0.03980868798293097	1.0	417.7592180367531	0.0023851626414586047	0.7934191386848204	0.5367471373248831
HDL cholesterol	0.0023779458913334704	11.514268442420342	4.0	0.01849979770077393	1.3904068627387816	3.0	0.1704206694644197	0.43352626578672004	2.0	21.843667168917484	0.018499797700774923	4.4144065652659386	0.17042066946438472
Height	0.05748543797704968	97.31848287588289	5.0	0.022363774102791046	22.761894460433414	4.0	0.12104848691892234	8.973540175564231	3.0	13.102000546580134	0.022363774102789002	4.609670436117106	0.12104848691895631
Hypothyroidism	0.10673349481340928	27.59965818382517	3.0	0.03661033291365398	1.9838730722287228	2.0	0.9608925449921137	1.9763960893133512	1.0	25.824016133067587	0.03661033291365423	0.0037831399059129215	0.9608925449922657
Inflammatory bowel disease	0.09723590193313705	36.936226265858195	3.0	0.02860287027759733	2.0827457567268057	2.0	0.09379840946266992	0.04488715185558078	1.0	33.46878071561293	0.028602870277597336	45.39959700334295	0.0937984094626636
Intraocular pressure	0.024189205684659185	30.76179256883275	4.0	0.03554910974759263	5.65965598980503	3.0	0.47388047007814726	4.093053252162082	2.0	13.305828105583746	0.03554910974759096	0.7654934549485367	0.47388047007826295
LDL cholesterol	0.004609846502810556	32.53509717979854	6.0	0.018423521309607293	9.66138324152397	5.0	0.22499444788980513	6.382323885071484	4.0	11.837701375909042	0.01842352130960856	2.055088030942672	0.22499444788988632
Lung cancer	0.02097807343027642	26.41896210717981	8.0	0.0003588896909541375	3.831054786866103	7.0	0.3658636215564703	3.3043423120218613	6.0	41.272015159965434	0.0003588896909541006	0.9564005634548619	0.36586362155651475
Male-pattern baldness	0.024653127478071725	65.2706595355677	5.0	0.003713364879002952	6.385782009559212	4.0	0.24130917188000212	3.7408232402391572	3.0	36.88499071083894	0.0037133648790032003	2.121157776878245	0.24130917187987833
Mean corpuscular hemoglobin	0.029057275530060333	29.596174075236448	3.0	0.00235146472481435	0.13902506997376332	2.0	0.9972257464238183	0.1390224298612613	1.0	423.7674400857602	0.0023514647248144005	1.8990550695081285e-05	0.9972257464323411
Mean platelet volume	0.04636585587780745	23.137515123938556	3.0	0.023643946075484843	1.081189611613374	2.0	0.5658953948154124	0.6517092080151636	1.0	40.80010624484685	0.023643946075485145	0.659006192203774	0.5658953948155587
Menarche (age at onset)	0.0589541574974289	52.811973291035315	4.0	0.03847358627238367	10.219494698685317	3.0	0.1923916607107116	3.554021104555316	2.0	12.503302711580043	0.03847358627238395	3.7509476719688717	0.19239166071070513
Migraine	0.016339491632586862	19.425041014427705	5.0	0.0016169832879296727	1.2614588685265744	4.0	0.2405301709276891	0.7376696297764543	3.0	57.59547964371377	0.0016169832879294743	2.1301781350637308	0.24053017092780626
Neuroblastoma	0.20601531566690584	3.398045752942278	2.0	0.013942577511543068	0.001629617476493904	1.0	nan	2.5468062725002804e-24	0.0	2084.1799897563196	0.01394257751154282	0.0	nan
Neuroticism	0.04147311998817627	46.025017101227434	4.0	0.0009631700170673207	0.7920729667914471	3.0	0.12728758166935858	0.1888088369856413	2.0	171.32112582127485	0.0009631700170674717	6.390210748998824	0.1272875816954434
Osteoarthritis	0.39100221895577053	19.41170862082723	3.0	0.005768310484688107	0.22329963106731932	2.0	0.011718950287524099	7.565822153497968e-05	1.0	171.8624334312051	0.005768310484688177	2950.425853488763	0.01171895028751857
Parkinson's disease	0.0021249804912172455	11.305304939357978	5.0	0.004992928861965537	1.2789792396410105	4.0	0.26136595413556624	0.7822163876331061	3.0	31.357274266722893	0.004992928861965229	1.905212649063962	0.2613659541355572
Prostate cancer	0.00038277533436747595	30.693605643508135	8.0	0.00011015272438338718	3.1922718020366743	7.0	0.6133883688755326	3.048115802077282	6.0	60.30480761928823	0.00011015272438341661	0.28376087259116006	0.6133883688751738
Red blood cell count	0.07600570185408141	23.902377524299027	2.0	0.04138337977839747	0.1008604635238238	1.0	nan	9.683507425303107e-24	0.0	235.98460912439842	0.041383379778397233	0.0	nan
Refractive error	0.21181376289927933	53.75284036799562	3.0	0.03927550429043957	4.1394225620369465	2.0	4.4632472697184875e-13	2.0346111140843083e-24	1.0	23.971178135312027	0.039275504290439356	2.0345030720526286e+24	0.0
Rheumatoid arthritis	0.004912630832110659	26.022380734085303	6.0	0.0002624536209297446	1.4690323318037926	5.0	0.3095250038309278	1.0978722848442615	4.0	83.56980262011318	0.0002624536209296924	1.3522886116473263	0.3095250038309245
Sarcoidosis	0.42264973081037427	4.454687420089716	2.0	0.017095146642730187	0.0032114285255173	1.0	nan	1.9272877249980289e-28	0.0	1386.135782314243	0.01709514664273082	0.0	nan
Systemic lupus erythematosus	0.002845805983920839	19.225890711588267	5.0	0.001552174070778473	1.223528932813479	4.0	0.8620457103822938	1.2091085989684445	3.0	58.853898084383616	0.001552174070778456	0.03577925222929694	0.8620457103814175
Systolic blood pressure	0.0028742083225590767	40.18383137525739	5.0	0.002307986099049338	3.1107797051116393	4.0	0.8011610276749582	3.0342848086093728	3.0	47.67043016157942	0.002307986099049364	0.07563056996352738	0.8011610276744863
Triglycerides	0.004024805014469526	27.160221677186154	5.0	0.0009456126642476125	1.3523749131943177	4.0	0.45356272982575035	1.0854729091066726	3.0	76.33340876764284	0.0009456126642476415	0.737656375894175	0.45356272982563806
Type 2 diabetes	0.0008532792395418068	68.79081930331945	9.0	0.00012271388141067482	9.860513557036201	8.0	0.10643129516226514	6.617510658155544	7.0	47.81114525559951	0.0001227138814107187	3.4304471069022675	0.1064312951623907
Urate levels	0.05142998846143955	72.938842482561	8.0	2.979406610070808e-06	2.72564292097629	7.0	0.010711199991608113	0.8464854792411167	6.0	180.3216382999453	2.979406610092994e-06	13.319714191103607	0.010711199991596865
Venous thromboembolism	0.058615275785793244	22.941903327385177	4.0	0.0015280360531435373	0.5363849771897405	3.0	0.8263921409136838	0.5202185009343424	2.0	125.31401495014123	0.0015280360531435555	0.06215263865611165	0.8263921409139718
White blood cell count	0.017549060280488672	37.01398196369247	4.0	0.010182549131092738	3.027412660023279	3.0	0.22169480253908622	1.193530253853866	2.0	33.67882722344947	0.010182549131092511	3.0730388278770033	0.22169480253913054
