Trait	pvalue_const	ssr_const	df_const	pvalue_linear	ssr_linear	df_linear	pvalue_quadratic	ssr_quadratic	df_quadratic	fstat_linearConstant	p_value_linearConstant	fstat_quadraticLinear	p_value_quadraticLinear
Depression	0.00025145213926985665	9.451246336184706	3.0	0.022376739427781976	0.4182437394845071	2.0	0.5343851035150498	0.23166813902369895	1.0	43.194920779130065	0.02237673942778151	0.8053571857014055	0.5343851035150231
Educational attainment (years of education)	0.0024106439246871806	5.00185152126126	2.0	0.03632996873743999	0.016271556548610504	1.0	nan	4.853097532468632e-24	0.0	306.3984659253997	0.036329968737439544	0.0	nan
Eosinophil counts	0.010163654959637133	16.74923149576628	2.0	0.020264257593742195	0.016964823723793945	1.0	nan	1.0365285195805798e-24	0.0	986.2918085364315	0.020264257593742507	0.0	nan
Glaucoma	0.002465744484047862	19.470349900094178	3.0	0.01139810993691254	0.4413208496446148	2.0	0.6293316554925797	0.3078698463620467	1.0	86.23670993914376	0.011398109936912704	0.4334656506945904	0.6293316554924666
HDL cholesterol	6.568452456836015e-05	16.567138903776605	4.0	0.040348460373719836	3.3045272122530203	3.0	0.3328055378571152	1.833522044697589	2.0	12.040401703166332	0.04034846037372253	1.6045677463322243	0.3328055378570888
Height	5.6777274654177435e-05	41.05770533552422	5.0	0.040906790966548236	12.774993139146783	4.0	0.15288301514525618	5.781531559781678	3.0	8.855648496502091	0.04090679096654748	3.6288627885458737	0.15288301514526892
Hypothyroidism	0.0019377397435170493	25.714219949065914	3.0	0.022534322600073736	1.1458474852914606	2.0	0.7950109481313918	1.0310939014114902	1.0	42.882447758787336	0.02253432260007393	0.11129304879301627	0.7950109481314442
Inflammatory bowel disease	0.0018157194370528472	18.009552020412883	3.0	0.04186519833578974	1.4763816857993193	2.0	0.2401886379991406	0.20037244028311177	1.0	22.396878115786755	0.041865198335790166	6.368187380027407	0.24018863799912016
Intraocular pressure	1.0592765022950014e-05	6.234397849995698	4.0	0.041492215220116126	1.2658444260950459	3.0	0.8373930139482255	1.2323741932278598	2.0	11.775270297380736	0.041492215220118256	0.054318295613640155	0.837393013947949
LDL cholesterol	9.117016285773119e-06	46.067142796829245	6.0	0.013868367860013364	12.279887973454692	5.0	0.13203540576842263	6.492972574370965	4.0	13.757151081676039	0.013868367860014441	3.5650330154948233	0.13203540576842632
Lung cancer	1.1229529851776786e-07	37.106952636957686	8.0	0.006843576235429387	12.17791262385391	7.0	0.7332222993799193	11.92444059944643	6.0	14.329490240380938	0.006843576235429416	0.12753907688679972	0.733222299379765
Male-pattern baldness	0.00010240586277805928	44.40591926882401	5.0	0.006238232494635816	5.6018730266494	4.0	0.4940852006774643	4.664523450371297	3.0	27.707908449602353	0.0062382324946359535	0.6028587397519615	0.49408520067732
Mean corpuscular hemoglobin	0.0008198363737568789	16.345734340776055	3.0	0.01445520419561725	0.46914636619013417	2.0	0.6730679496853351	0.35592110175056146	1.0	67.68287732256039	0.014455204195617077	0.31811899851592346	0.6730679496854277
Mean platelet volume	0.002537005533475794	24.966873427469295	3.0	0.017065258025942977	0.8448613457152424	2.0	0.2505501258942122	0.12424376624160757	1.0	57.102889613994236	0.017065258025943386	5.800030064062157	0.2505501258941828
Menarche (age at onset)	4.4115879413010404e-05	13.932976033268842	4.0	0.04951126224644216	3.1642681044705103	3.0	0.13410559279779297	0.7917849212662527	2.0	10.209667044569509	0.04951126224644298	5.9927465640797815	0.13410559279779266
Migraine	1.3733472064247356e-05	24.422779871257994	5.0	0.012459442839923339	4.312728045674275	4.0	0.8798353586461872	4.274199624850928	3.0	18.651815382381344	0.01245944283992384	0.02704255126457104	0.8798353586465741
Neuroblastoma	0.0006321032653323797	0.545328037104924	2.0	0.03475676650973155	0.001623845738739687	1.0	nan	2.722933905745437e-23	0.0	334.8250257984287	0.03475676650973136	0.0	nan
Neuroticism	4.582124860016438e-06	5.325810715195522	4.0	0.005397511814481345	0.286995174889784	3.0	0.5654816979886486	0.23280871948983392	2.0	52.67143124173586	0.005397511814481781	0.4655019409813491	0.5654816980376254
Osteoarthritis	0.0013182496206818025	18.00130259911177	3.0	0.025081894294830088	0.8916888928678818	2.0	0.9317904684859375	0.8814916971793398	1.0	38.375747064013176	0.025081894294830098	0.011568113144084798	0.9317904684862984
Parkinson's disease	9.633156238514321e-06	18.304628056677657	5.0	0.0069954193113581226	2.441987522345276	4.0	0.21134961921355958	1.3297647138960318	3.0	25.983163941964715	0.006995419311357831	2.509217149830772	0.21134961921367856
Prostate cancer	1.0301452507365273e-07	40.48766220430742	8.0	0.0002488244467953327	5.297260800522649	7.0	0.8241061121114868	5.250086158018442	6.0	46.501922239167314	0.0002488244467953038	0.05391299237878978	0.824106112110977
Red blood cell count	0.00776264239262021	13.077623952174365	2.0	0.02587040976665133	0.02158420911110858	1.0	nan	2.5876281677375668e-23	0.0	604.8884939844196	0.025870409766651226	0.0	nan
Refractive error	0.002854525905564637	31.884662237364406	3.0	0.028714544639949272	1.804817410802115	2.0	0.1075209224135126	0.050994770094225324	1.0	33.33283981695844	0.028714544639948936	34.39220605303785	0.1075209224135123
Rheumatoid arthritis	4.4558652241675704e-07	14.667715901320914	6.0	0.0004872858591818229	1.0580658002563805	5.0	0.7617973759064526	1.0309212257083318	4.0	64.31381723975376	0.00048728585918178524	0.10532162446999027	0.7617973759056142
Sarcoidosis	0.002385181472412883	1.8199646159059795	2.0	0.011650248858051002	0.000609431111760606	1.0	nan	2.6497708622511948e-21	0.0	2985.333616359399	0.01165024885805166	0.0	nan
Systemic lupus erythematosus	4.6709964267237035e-06	10.65179994734503	5.0	0.007850407323319469	1.503203107826567	4.0	0.06537870596532343	0.40649608527332726	3.0	24.344273350382103	0.00785040732332043	8.093856710692423	0.06537870596527018
Systolic blood pressure	1.4070136720463076e-06	12.82960712836572	5.0	0.00014383436103727274	0.2504407895579309	4.0	0.5308592404321741	0.21472476784850394	3.0	200.91242103192664	0.000143834361037265	0.49900189066162015	0.5308592404328734
Triglycerides	2.6676686599710863e-05	31.398411960557837	5.0	0.025121581684069156	7.762043515392206	4.0	0.2132323461631452	4.247695311608583	3.0	12.180487469978486	0.02512158168406775	2.482062350973631	0.2132323461632457
Type 2 diabetes	8.02785068735312e-08	73.88663438977977	9.0	7.528383388493077e-06	5.312567838825558	8.0	0.05304415224949468	2.998266721421842	7.0	103.26315805294456	7.5283833884665086e-06	5.40315766642121	0.05304415224953973
Urate levels	9.318230839291419e-07	71.87536046931807	8.0	0.0009533401397865449	13.697634690176379	7.0	0.06404301269105174	7.381857186697326	6.0	29.730978352493054	0.0009533401397865404	5.133486609462374	0.0640430126910525
Venous thromboembolism	0.0004131743534885467	28.389716714358048	4.0	0.003435470811322977	1.1352664733053441	3.0	0.9815146116062603	1.134878541871018	2.0	72.02128543891813	0.0034354708113228938	0.000683652778713155	0.9815146116079951
White blood cell count	6.781692988476377e-05	17.380186740624076	4.0	0.0009126537485379707	0.2885898031637306	3.0	0.08091750452297358	0.044814350534334614	2.0	177.67360540902555	0.0009126537485379949	10.87934778582262	0.080917504523081
