Trait	Abbreviation	dx	dy	n_tot	n_informative	recent_pmid	recent_year	recent_size	recent_nsignif	size_tau	size_se	size_pval	nsignif_tau	nsignif_se	nsignif_pval	taudiff_z	taudiff_p	taudiff_str
Lung cancer	Lung cancer	0	0	13	9	28604730	2017.446575	77094.85744	56	1.833783087	0.484431742	0.006843576	1.92647218	0.299871302	0.00035889	-0.162688344	0.870763825	tie
Male-pattern baldness	Male baldness	0	0	9	6	30573740	2018.969863	205327	622	1.382978578	0.262732369	0.006238232	1.122669882	0.18485331	0.003713365	0.810309332	0.417762413	tie
Mean corpuscular hemoglobin	Hemoglobin	0	0	12	4	30595370	2018.989041	443000	774	2.041493503	0.248146752	0.014455204	1.498757031	0.072806045	0.002351465	2.098692894	0.035843982	discovering
Mean platelet volume	Platelet	0	0.12	10	4	27863252	2016.879452	164454	294	1.252122722	0.165698224	0.017065258	1.309444454	0.205001214	0.023643946	-0.217462827	0.827847674	tie
Menarche (age at onset)	Menarche	0	0	9	5	30595370	2018.989041	242000	316	2.520363046	0.788782585	0.049511262	1.267297113	0.358398409	0.038473586	1.446311104	0.148089963	tie
Migraine	Migraine	0	0.2	6	6	27322543	2016.468493	200788.1642	44	1.230782314	0.284984141	0.012459443	1.295051653	0.170644734	0.001616983	-0.193484434	0.846579595	tie
Neuroblastoma	NEUROBL	0	0	3	3	22941191	2012.671233	5602.666667	6	4.164908153	0.227612691	0.034756767	1.666388736	0.036501332	0.013942578	10.83858098	2.26E-27	discovering
Neuroticism	Neuroticism	0	0	10	5	29942085	2018.482192	449484	371	1.151744795	0.158696993	0.005397512	0.384408569	0.029368895	0.00096317	4.754497414	1.99E-06	discovering
Osteoarthritis	Osteoarthritis	0.05	0	4	4	30664745	2019.057534	256039.8381	34	1.45100214	0.234228443	0.025081894	1.370151757	0.104514896	0.00576831	0.315220363	0.752594346	tie
Parkinson's disease	Parkinson's disease	0	0	17	6	28892059	2017.69589	76832.90012	40	1.924153346	0.377479754	0.006995419	2.420229318	0.43220259	0.004992929	-0.864487846	0.387319954	tie
Prostate cancer	Prostate cancer	0	0	30	9	29892016	2018.443836	137933.1124	135	1.987202459	0.291411484	0.000248824	2.247901862	0.289468546	0.000110153	-0.634696583	0.525626322	tie
Red blood cell count	RBC	0	0.1	9	3	30595370	2018.989041	445000	851	1.816891273	0.073873942	0.02587041	1.345650729	0.087597258	0.04138338	4.112441358	3.91E-05	discovering
Refractive error	Refractive error	0	-0.1	5	4	32231278	2020.243836	542934	448	1.426191149	0.247025382	0.028714545	1.110493343	0.226814738	0.039275504	0.941369324	0.346515628	tie
Rheumatoid arthritis	Rheumatoid arthritis	0	-0.05	24	7	24390342	2013.983562	58392.07058	147	1.680767891	0.209582781	0.000487286	1.251341533	0.136883522	0.000262454	1.715483044	0.086256702	tie
Sarcoidosis	Sarcoidosis	0	-0.05	3	3	26051272	2015.706849	5250.794673	6	1.872237428	0.034266085	0.011650249	1.196926967	0.0321488	0.017095147	14.37250519	7.70E-47	discovering
Systemic lupus erythematosus	Lupus	0	0	22	6	28714469	2017.542466	26873.80286	126	2.998472591	0.607717406	0.007850407	2.137531805	0.278628136	0.001552174	1.28778045	0.1978224	tie
Systolic blood pressure	Systolic BP	0	0	22	6	30595370	2018.989041	422000	673	2.517722844	0.177625178	0.000143834	1.466576366	0.212412537	0.002307986	3.796217637	0.000146921	discovering
Triglycerides	Triglyc	0	0	23	6	29507422	2018.175342	283251	537	1.848211344	0.529565028	0.025121582	1.768748651	0.20244581	0.000945613	0.14016014	0.888533465	tie
Type 2 diabetes	Type 2 diabetes	0	0.1	61	10	30297969	2018.769863	272025.7457	287	1.81402083	0.178512885	7.53E-06	1.956828995	0.283001216	0.000122714	-0.42680383	0.669522217	tie
Urate levels	Urate	0	0	11	9	31578528	2019.753425	457690	466	1.429274364	0.262126545	0.00095334	1.301021856	0.096885921	2.98E-06	0.458931762	0.646283169	tie
Venous thromboembolism	Venuous thromboembolism	0	0.1	9	5	31420334	2019.624658	102866.9582	94	1.521885753	0.17932945	0.003435471	1.678507425	0.14994205	0.001528036	-0.670023249	0.502842969	tie
White blood cell count	WBC	0.1	0	13	5	30595370	2018.989041	444000	715	1.779401011	0.133494193	0.000912654	1.261860919	0.217436781	0.010182549	2.028408057	0.042518618	discovering
