Trait	n_tot	n_informative	recent_pmid	recent_year	recent_size	recent_nsignif	size_tau	size_se	size_pval	nsignif_tau	nsignif_se	nsignif_pval	taudiff_z	taudiff_p	taudiff_str
Neuroblastoma	3	3	22941191	2012.6712328767123	5602.666666666667	6	4.164908153154382	0.22761269084729369	0.03475676650973155	1.6663887359371408	0.03650133178233446	0.013942577511543068	10.838580981642359	2.259484624323956e-27	discovering
Neuroticism	10	5	29942085	2018.482191780822	449484	371	1.1517447953947917	0.15869699329275735	0.005397511814481345	0.384408569220791	0.02936889459291302	0.0009631700170673207	4.754497414044707	1.9894068790047485e-06	discovering
Osteoarthritis	4	4	30664745	2019.0575342465754	256039.8381269757	34	1.4510021401963296	0.2342284430002531	0.025081894294830088	1.3701517567093098	0.10451489618023485	0.005768310484688107	0.31522036265965253	0.7525943459237696	tie
Parkinson's disease	17	6	28892059	2017.695890410959	76832.90012167432	40	1.9241533460755587	0.377479754187972	0.0069954193113581226	2.420229317859513	0.4322025901563985	0.004992928861965537	-0.8644878461660775	0.38731995405955566	tie
Prostate cancer	30	9	29892016	2018.4438356164383	137933.11243886093	135	1.9872024585572607	0.2914114843195788	0.0002488244467953327	2.2479018623820006	0.2894685455285008	0.00011015272438338718	-0.6346965832466183	0.5256263224987442	tie
Red blood cell count	9	3	30595370	2018.9890410958903	445000	851	1.8168912726635957	0.07387394249868874	0.02587040976665133	1.345650729054319	0.08759725788739048	0.04138337977839747	4.1124413576833385	3.914969349915366e-05	discovering
Refractive error	5	4	32231278	2020.2438356164384	542934	448	1.4261911486795242	0.2470253817546281	0.028714544639949272	1.1104933431144934	0.22681473752211012	0.03927550429043957	0.9413693236731089	0.3465156283148547	tie
Rheumatoid arthritis	24	7	24390342	2013.9835616438356	58392.070577325525	147	1.6807678906750938	0.20958278116219342	0.0004872858591818229	1.251341533253026	0.13688352206887977	0.0002624536209297446	1.7154830436277086	0.0862567015832155	tie
Sarcoidosis	3	3	26051272	2015.7068493150684	5250.794672586016	6	1.8722374284867047	0.034266084966520234	0.011650248858051002	1.1969269668835456	0.03214879981642538	0.017095146642730187	14.372505193403848	7.699492878366581e-47	discovering
Systemic lupus erythematosus	22	6	28714469	2017.5424657534247	26873.80285776456	126	2.9984725911082144	0.6077174059709943	0.007850407323319469	2.137531805393685	0.27862813570251294	0.001552174070778473	1.2877804495934857	0.1978223996478633	tie
Systolic blood pressure	22	6	30595370	2018.9890410958903	422000	673	2.5177228438484915	0.1776251782908159	0.00014383436103727274	1.46657636634088	0.21241253730426163	0.002307986099049338	3.7962176366904736	0.0001469205288760399	discovering
Triglycerides	23	6	29507422	2018.1753424657534	283251	537	1.8482113444753177	0.5295650280178232	0.025121581684069156	1.7687486505941223	0.2024458102280594	0.0009456126642476125	0.14016013974691446	0.8885334648354664	tie
Type 2 diabetes	61	10	30297969	2018.7698630136986	272025.74568937684	287	1.814020830466384	0.17851288482916344	7.528383388493077e-06	1.9568289952916387	0.28300121592829947	0.00012271388141067482	-0.4268038295160651	0.6695222169816799	tie
Urate levels	11	9	31578528	2019.7534246575342	457690	466	1.429274364308548	0.2621265453626493	0.0009533401397865449	1.3010218559563786	0.09688592057542922	2.979406610070808e-06	0.4589317618326712	0.6462831693882842	tie
Venous thromboembolism	9	5	31420334	2019.6246575342466	102866.95819249244	94	1.5218857533970978	0.17932945034756606	0.003435470811322977	1.6785074251631351	0.14994205008700628	0.0015280360531435373	-0.6700232492811498	0.5028429694873624	tie
White blood cell count	13	5	30595370	2018.9890410958903	444000	715	1.7794010107458036	0.13349419330499923	0.0009126537485379707	1.2618609194507626	0.2174367811207945	0.010182549131092738	2.02840805711423	0.04251861846381128	discovering
