trait	pmid	date_published	size_cases	size_controls	size_other	size_total	size_effective	nsignif
Adult onset asthma or fasting glucose levels	31669095	2019-10-24	33418	393186	58047	484651	123200.81150669006	1
Adult onset asthma or type 2 diabetes	31669095	2019-10-24	33418	552394	0	585812	126046.5998784593	6
Advanced age-related macular degeneration	26691988	2015-12-21	16144	17832	0	33976	33892.13656698846	48
Advanced glycation end-product levels	26083729	2015-06-17	0	0	2318	2318	2318	2
Adventurousness	30643258	2019-01-14	0	0	557923	557923	557923	167
Adverse response to antithyroid drugs in Graves disease	30067105	2018-08-01	24	423	0	447	90.84563758389262	1
Adverse response to carbamazepine	21149285	2010-12-10	53	881	0	934	199.97002141327624	1
Adverse response to chemotherapy (amenorrhea) in breast cancer	31371054	2019-07-29	1168	0	0	1168	1168	2
Adverse response to chemotherapy in breast cancer (alopecia)	24025145	2013-09-11	303	880	0	1183	901.5722738799661	2
Adverse response to drug	30420678	2018-11-12	0	0	16226	16226	16226	9
Adverse response to inhaled corticosteroid treatment x age interaction in asthma	32119686	2020-03-02	407	376	0	783	781.7726692209451	2
Adverse response to radiation therapy	23719583	2013-05-26	0	0	320	320	320	1
Affective disorder and suicide attempts	30116032	2018-08-16	4302	13294	0	17596	13000.861104796544	1
Age at adiposity rebound	31840077	2019-09-04	0	0	6051	6051	6051	2
Age at first birth	27089180	2016-04-18	0	0	66310	66310	66310	4
Age at first birth	27798627	2016-10-31	0	0	238064	238064	238064	15
Age at first sexual intercourse	27089180	2016-04-18	0	0	125667	125667	125667	32
Age at loss of ambulation in Duchenne muscular dystrophy	30014611	2018-07-16	253	0	0	253	253	3
Age at menopause	30595370	2018-12-27	0	0	143000	143000	143000	85
Age at suicide	31476763	2019-09-02	0	0	719	719	719	1
Age at voice drop	27182965	2016-05-16	0	0	55871	55871	55871	9
Age of smoking initiation	30643251	2019-01-14	0	0	341427	341427	341427	10
Age of smoking initiation	31089300	2019-03-25	0	0	7379	7379	7379	1
Age of smoking initiation (MTAG)	30643251	2019-01-14	0	0	931815	931815	931815	170
Age spots	29895819	2018-06-12	3815	7438	0	11253	10086.54403270239	2
Age-related cognitive decline (attention/processing speed) (slope of z-scores)	30954325	2019-03-11	0	0	1145	1145	1145	1
Age-related disease endophenotypes	27790247	2016-11-03	0	0	9618	9618	9618	27
Age-related diseases and mortality	27790247	2016-11-03	0	0	9618	9618	9618	9
Age-related diseases, mortality and associated endophenotypes	27790247	2016-11-03	0	0	9618	9618	9618	28
Age-related hearing impairment	27764096	2016-10-20	6527	45882	0	52409	22856.518078955905	3
Age-related hearing impairment (SNP x SNP interaction)	24939585	2014-06-18	0	0	1489	1489	1489	49
Age-related hearing impairment (high frequency)	31645637	2019-10-23	0	0	9675	9675	9675	6
Age-related hearing impairment (low/mid frequency)	31645637	2019-10-23	0	0	9675	9675	9675	1
Age-related macular degeneration	15761122	2005-03-10	96	50	0	146	131.50684931506848	1
Age-related macular degeneration	20385819	2010-04-12	2157	1150	0	3307	3000.362866646507	7
Age-related macular degeneration	20385826	2010-04-12	979	1709	0	2688	2489.7485119047615	9
Age-related macular degeneration	20861866	2010-09-23	684	188	0	872	589.8715596330276	4
Age-related macular degeneration	21665990	2011-06-10	2594	4134	0	6728	6375.502972651605	11
Age-related macular degeneration	21909106	2011-09-11	827	3323	0	4150	2648.7913253012052	2
Age-related macular degeneration	22694956	2012-06-13	893	2199	0	3092	2540.37128072445	5
Age-related macular degeneration	23326517	2013-01-11	3772	16033	0	19805	12214.38545821762	4
Age-related macular degeneration	23455636	2013-03-03	7650	3442	48402	59494	9495.60043274432	19
Age-related macular degeneration	23536807	2013-03-11	200	197	0	397	396.97732997481114	2
Age-related macular degeneration	23577725	2013-05-01	1207	686	0	1893	1749.608029582673	3
Age-related macular degeneration (CNV vs. GA)	22705344	2012-06-15	1775	0	819	2594	2594	1
Age-related macular degeneration (SNP x mitochondrial A4917G interaction)	28813576	2017-08-01	16122	17810	0	33932	33848.02782034658	1
Age-related macular degeneration (SNP x mitochondrial G12771A interaction)	28813576	2017-08-01	15413	16351	0	31764	31736.300591864998	1
Age-related macular degeneration (choroidal neovascularisation)	22705344	2012-06-15	1775	4134	0	5909	4967.236419021831	6
Age-related macular degeneration (extreme sampling)	23577725	2013-05-01	725	514	0	1239	1203.0669895076676	2
Age-related macular degeneration (geographic atrophy)	22705344	2012-06-15	819	4134	0	4953	2734.299212598425	4
Age-related macular degeneration (wet)	17053108	2006-10-19	96	130	0	226	220.88495575221242	1
Age-related nuclear cataracts	24951543	2014-06-20	0	0	7140	7140	7140	2
Aging	19367585	2009-04-14	227	0	89	316	316	1
Aging (facial)	23223146	2012-12-06	0	0	502	502	502	4
Aging traits	17903295	2007-09-19	0	0	1675	1675	1675	1
Airflow obstruction	22837378	2012-07-26	3368	29507	0	32875	12091.81152851711	2
Airflow obstruction	29394082	2018-02-02	854	9549	0	10403	3135.5747380563303	1
Airflow obstruction in ever smokers	31879980	2019-12-26	0	0	5971	5971	5971	1
Airway imaging phenotypes	26030696	2015-06-01	6286	5745	0	12031	12006.672762031418	1
Airway responsiveness in chronic obstructive pulmonary disease	25514360	2014-12-16	4108	0	0	4108	4108	1
Airway wall thickness	25517131	2015-02-27	0	0	2640	2640	2640	1
Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL)	28090653	2017-01-16	715	0	0	715	715	3
Alanine aminotransferase levels	30718733	2019-02-04	0	0	6949	6949	6949	2
Alanine aminotransferase levels	31675503	2019-10-01	0	0	14126	14126	14126	1
Alanine aminotransferase levels in excessive alcohol consumption	30589442	2018-12-27	0	0	951	951	951	1
Alanine transaminase levels	28887542	2017-09-08	0	0	9731	9731	9731	1
Alanine transaminase levels	29403010	2018-02-05	0	0	134182	134182	134182	27
Albumin-globulin ratio	29403010	2018-02-05	0	0	98626	98626	98626	50
Albuminuria	30910378	2019-03-12	0	0	217634	217634	217634	8
Alcohol and nicotine co-dependence	22488850	2012-04-04	1267	1876	0	3143	3024.997772828508	1
Alcohol and nicotine co-dependence	23216389	2012-12-06	818	1396	0	2214	2063.103884372177	1
Alcohol consumption	21270382	2011-01-26	0	0	1721	1721	1721	4
Alcohol consumption	21471458	2011-04-06	0	0	26316	26316	26316	1
Alcohol consumption	23743675	2013-06-07	0	0	5033	5033	5033	1
Alcohol consumption	27911795	2016-11-28	0	0	70460	70460	70460	1
Alcohol consumption	28937693	2017-07-25	0	0	112117	112117	112117	20
Alcohol consumption	31358974	2019-07-29	0	0	480842	480842	480842	50
Alcohol consumption (drinkers vs non-drinkers)	28485404	2017-05-09	0	0	86627	86627	86627	6
Alcohol consumption (drinkers vs non-drinkers)	31959922	2020-01-20	0	0	165084	165084	165084	6
Alcohol consumption (drinks per week)	28485404	2017-05-09	0	0	86627	86627	86627	3
Alcohol consumption (drinks per week)	30643251	2019-01-14	0	0	941280	941280	941280	99
Alcohol consumption (drinks per week)	30643258	2019-01-14	0	0	414343	414343	414343	85
Alcohol consumption (drinks per week)	30679032	2018-12-06	0	0	357854	357854	357854	51
Alcohol consumption (drinks per week)	31959922	2020-01-20	0	0	58610	58610	58610	2
Alcohol consumption (drinks per week) (MTAG)	30643251	2019-01-14	0	0	1039210	1039210	1039210	146
Alcohol consumption (heavy vs. light/non-drinkers)	27911795	2016-11-28	0	0	74711	74711	74711	1
Alcohol consumption (heavy vs. light/non-drinkers)	31998841	2020-01-15	21967	103282	0	125249	72457.12760980127	7
Alcohol consumption (max-drinks)	24277619	2013-11-26	0	0	272	272	272	1
Alcohol consumption (max-drinks)	29460428	2018-02-20	0	0	1045	1045	1045	1
Alcohol consumption (transferrin glycosylation)	21665994	2011-06-10	0	0	5181	5181	5181	6
Alcohol consumption in current drinkers	28937693	2017-07-25	0	0	108309	108309	108309	8
Alcohol dependence	19581569	2009-07-01	476	1358	0	1834	1409.8320610687024	1
Alcohol dependence	22004471	2011-10-18	1333	2168	0	3501	3301.849757212225	1
Alcohol dependence	23455491	2013-02-27	1409	1518	0	2927	2922.940895114452	1
Alcohol dependence	23456092	2013-03-01	117	279	0	396	329.72727272727275	1
Alcohol dependence	24166409	2014-01-01	5084	3800	0	8884	8698.4241332733	19
Alcohol dependence	24277619	2013-11-26	102	212	0	314	275.4649681528663	1
Alcohol dependence	28714907	2017-07-17	1331	1934	0	3265	3153.634303215926	1
Alcohol dependence	31090166	2019-05-14	3291	3389	0	6680	6678.562275449102	1
Alcohol dependence	31591379	2019-10-07	533	2848	0	3381	1795.8994380360841	2
Alcohol dependence (age at onset)	24962325	2014-06-11	685	0	1221	1906	1906	3
Alcohol dependence (desire to cut drinking)	31090166	2019-05-14	4332	6114	0	10446	10142.005743825388	1
Alcohol dependence (drinking more than intended)	31090166	2019-05-14	5143	5297	0	10440	10437.728352490421	1
Alcohol dependence (time spent drinking)	31090166	2019-05-14	2079	8366	0	10445	6660.761704164672	1
Alcohol dependence (tolerance)	31090166	2019-05-14	4458	5982	0	10440	10217.53103448276	1
Alcohol dependence or heroin dependence or methamphetamine dependence	31462767	2019-08-28	3296	2859	0	6155	6123.973354995938	3
Alcohol dependence symptom count	27151647	2016-05-05	0	0	3838	3838	3838	3
Alcohol dependence symptom count	29460428	2018-02-20	0	0	1045	1045	1045	1
Alcohol dependence symptom count	31090166	2019-05-14	0	0	10593	10593	10593	1
Alcohol misuse (trauma interaction)	28265120	2017-03-07	0	0	16361	16361	16361	1
Alcohol use disorder	30940813	2019-04-02	55584	218807	0	274391	177296.8980469476	25
Alcohol use disorder (consumption score)	30336701	2018-10-19	0	0	121604	121604	121604	9
Alcohol use disorder (consumption score)	30940813	2019-04-02	0	0	272842	272842	272842	32
Alcohol use disorder (dependence and problematic use scores)	30336701	2018-10-19	0	0	121604	121604	121604	5
Alcohol use disorder (total score)	30336701	2018-10-19	0	0	141932	141932	141932	15
Alcohol withdrawal symptoms	30252935	2018-09-25	0	0	1297	1297	1297	1
Alcoholic chronic pancreatitis	28754779	2017-07-28	1959	6040	0	7999	5916.919614951868	72
Allergic disease (asthma, hay fever or eczema)	29083406	2017-10-30	180129	180709	0	360838	360837.067725683	136
Allergic disease (asthma, hay fever or eczema)	29679657	2018-04-18	180129	180709	0	360838	360837.067725683	4
Allergic disease (asthma, hay fever or eczema)	29785011	2018-05-21	25685	76768	0	102453	76983.04900783773	33
Allergic disease (asthma, hay fever or eczema)	31361310	2019-07-30	106772	239773	0	346545	295500.356444329	79
Allergic rhinitis	22036096	2011-11-01	3933	8965	0	12898	10934.825554349512	1
Allergic rhinitis	25085501	2014-08-02	2712	2921	0	5633	5625.245517486242	5
Allergic rhinitis	30013184	2018-07-16	59762	152358	0	212120	171699.39272110126	42
Allergic rhinitis	31361310	2019-07-30	18915	239773	0	258688	70127.81876237011	27
Allergic sensitization	23817571	2013-06-30	5789	10056	0	15845	14695.912653834015	10
Allergic sensitization	30013184	2018-07-16	8040	16441	0	24481	21598.078509864794	10
Allergy	27182965	2016-05-16	66973	113768	0	180741	168625.47543722784	25
Alloimmunization response to pregnancy (HLA class I)	29168253	2017-11-22	247	753	0	1000	743.964	1
Alloimmunization response to red blood cell transfusion in sickle cell anemia	30578281	2018-12-01	144	123	0	267	265.34831460674155	1
Alopecia areata	20596022	2010-07-01	1054	3278	0	4332	3190.2234533702676	6
Alopecia areata	25608926	2015-01-22	0	7565	0	7565	7565	10
Alzheimer disease and age of onset	26830138	2016-02-02	2478	0	2049	4527	4527	44
Alzheimer's disease	17975299	2007-11-01	664	422	0	1086	1032.073664825046	1
Alzheimer's disease	17998437	2007-11-12	753	736	0	1489	1488.8059100067162	1
Alzheimer's disease	18823527	2008-09-29	1082	1239	0	2321	2310.3800086169754	1
Alzheimer's disease	19125160	2009-01-07	491	479	0	970	969.8515463917525	1
Alzheimer's disease	19734902	2009-09-06	3941	7848	0	11789	10494.178641106115	3
Alzheimer's disease	19734903	2009-09-06	2032	5328	0	7360	5883.965217391305	3
Alzheimer's disease	20061627	2009-09-11	331	368	0	699	697.0414878397711	1
Alzheimer's disease	20460622	2010-05-12	3006	0	22604	25610	25610	1
Alzheimer's disease	21460840	2011-04-03	6688	13685	0	20373	17969.917047072107	4
Alzheimer's disease	21627779	2011-05-31	3009	3006	0	6015	6014.998503740649	5
Alzheimer's disease	22245343	2012-01-08	0	209	548	757	757	2
Alzheimer's disease	22430674	2012-03-20	2025	5328	0	7353	5869.277845777234	1
Alzheimer's disease	22832961	2012-05-15	1291	938	0	2229	2173.0964558097803	3
Alzheimer's disease	23150908	2012-11-14	3550	8888	0	12438	10147.097604116418	1
Alzheimer's disease	24755620	2014-04-22	2540	2029	0	4569	4511.849420004377	1
Alzheimer's disease	24770881	2014-04-27	0	1542	0	1542	1542	1
Alzheimer's disease	28183528	2017-02-06	15574	17689	0	33263	33128.51949613685	10
Alzheimer's disease	30636644	2019-01-12	2741	14739	0	17480	9244.759496567505	54
Alzheimer's disease	31473137	2019-08-13	16119	12525	0	28644	28193.05613741097	19
Alzheimer's disease (APOE e4 interaction)	25778476	2015-03-17	17536	36175	0	53711	47242.82176835285	2
Alzheimer's disease (APOE e4 interaction)	28183528	2017-02-06	15574	16448	1241	33263	31998.14527512335	1
Alzheimer's disease (SNP x SNP interaction)	30201328	2018-08-09	2243	6017	0	8260	6535.6566585956425	1
Alzheimer's disease (age of onset)	22005931	2011-10-18	2222	0	0	2222	2222	1
Alzheimer's disease (cognitive decline)	23535033	2013-03-24	303	0	0	303	303	14
Alzheimer's disease (late onset)	17474819	2007-04-01	664	422	0	1086	1032.073664825046	1
Alzheimer's disease (late onset)	17553421	2007-06-07	446	290	0	736	702.9347826086957	1
Alzheimer's disease (late onset)	20885792	2010-09-23	931	1104	0	2035	2020.2928746928749	3
Alzheimer's disease (late onset)	21390209	2011-02-24	1831	1764	0	3595	3593.751321279555	2
Alzheimer's disease (late onset)	21460841	2011-04-03	8309	7366	0	15675	15618.269601275919	7
Alzheimer's disease (late onset)	23565137	2013-04-02	891	844	0	1735	1733.7268011527376	2
Alzheimer's disease (late onset)	23571587	2013-04-10	1968	3928	0	5896	5244.439620081411	1
Alzheimer's disease (late onset)	24162737	2013-10-27	17008	37154	0	54162	46668.53011336361	19
Alzheimer's disease (late onset)	26339675	2015-06-18	2451	2063	0	4514	4480.649534780682	2
Alzheimer's disease (late onset)	28714976	2017-09-01	16097	18077	0	34174	34059.28120793586	9
Alzheimer's disease (late onset)	30617256	2019-01-07	24087	55058	0	79145	67025.4366542422	22
Alzheimer's disease (late onset)	30820047	2019-02-28	21982	41944	0	63926	57692.5199762225	8
Alzheimer's disease (onset at age over 80)	30979435	2019-03-12	2399	4160	0	6559	6086.196066473547	2
Alzheimer's disease (onset between ages 58 and 79)	30979435	2019-03-12	7316	7579	0	14895	14890.356226921787	28
Alzheimer's disease biomarkers	23419831	2013-02-19	0	0	555	555	555	5
Alzheimer's disease biomarkers	23562540	2013-04-04	591	687	0	1278	1270.7887323943662	6
Alzheimer's disease in APOE e4+ carriers	25778476	2015-03-17	10352	9207	0	19559	19491.97075515108	4
Alzheimer's disease in APOE e4- carriers	25778476	2015-03-17	7184	26968	0	34152	22691.27570859686	3
Alzheimer's disease in APOE e4- carriers	28183528	2017-02-06	5903	12817	0	18720	16166.399786324786	1
Alzheimer's disease in hypertension	31055733	2019-05-05	1262	9608	0	10870	4461.930450781969	1
Alzheimer's disease in hypertension-negative individuals	31055733	2019-05-05	796	4010	0	4806	2656.6458593424886	1
Alzheimer's disease or HDL levels (pleiotropy)	30805717	2019-02-25	54162	0	60812	114974	114974	20
Alzheimer's disease or family history of Alzheimer's disease	29777097	2018-05-18	25580	48466	314278	388324	66972.4376738784	219
Alzheimer's disease or family history of Alzheimer's disease	30617256	2019-01-07	24087	383378	47793	455258	90652.45737425302	104
Alzheimer's disease or fasting glucose levels (pleiotropy)	30805717	2019-02-25	54162	0	58047	112209	112209	4
Alzheimer's disease or fasting insulin levels (pleiotropy)	30805717	2019-02-25	54162	0	51750	105912	105912	3
Alzheimer's disease or small vessel stroke	26913989	2016-02-23	20659	95811	0	116470	67978.34460376063	1
Alzheimer's disease progression score	29860282	2018-05-30	0	0	944	944	944	2
Alzheimer’s disease (clinical subgroup AD+)	31473137	2019-08-13	3797	3289	0	7086	7049.581145921536	1
Alzheimer’s disease (clinical subgroup AD++)	31473137	2019-08-13	2611	3289	0	5900	5822.087457627119	1
Alzheimer’s disease (clinical subgroup AD+++)	31473137	2019-08-13	1854	3289	0	5143	4742.606260937197	1
Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD+)	31473137	2019-08-13	1168	3289	0	4457	3447.6571684989904	1
Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD++)	31473137	2019-08-13	373	3289	0	3662	1340.02949208083	1
Amino acid levels	26068415	2015-06-12	0	0	7478	7478	7478	9
Amygdala volume	31636452	2019-10-21	0	0	34431	34431	34431	1
Amyloid A serum levels	21124955	2010-11-18	0	0	4211	4211	4211	4
Amyotrophic lateral sclerosis	18084291	2007-12-16	737	721	0	1458	1457.824417009602	1
Amyotrophic lateral sclerosis	19451621	2009-05-18	1821	2258	0	4079	4032.1823976464816	2
Amyotrophic lateral sclerosis	19734901	2009-09-06	2323	9013	0	11336	7387.861326746648	3
Amyotrophic lateral sclerosis	20801717	2010-10-01	4857	8987	0	13844	12611.921121063277	2
Amyotrophic lateral sclerosis	20801718	2010-08-27	405	497	0	902	892.6164079822615	2
Amyotrophic lateral sclerosis	22959728	2012-09-05	4243	5112	0	9355	9274.277284874399	1
Amyotrophic lateral sclerosis	23624525	2013-04-28	506	1859	0	2365	1590.9581395348837	2
Amyotrophic lateral sclerosis	24931836	2014-06-27	4377	13017	0	17394	13102.313211452225	2
Amyotrophic lateral sclerosis	25442119	2014-09-06	25	1179	0	1204	97.92358803986711	1
Amyotrophic lateral sclerosis	27455348	2016-07-25	12577	23475	0	36052	32757.691667591258	6
Amyotrophic lateral sclerosis	29566793	2018-03-21	20806	59804	0	80610	61743.30847289419	6
Amyotrophic lateral sclerosis	31872054	2019-11-08	666	3988	0	4654	2282.7743876235495	4
Amyotrophic lateral sclerosis (sporadic)	24256812	2013-11-20	6100	7125	0	13225	13145.557655954632	2
Amyotrophic lateral sclerosis (sporadic)	24529757	2014-01-17	250	250	0	500	500.0	17
Amyotrophic lateral sclerosis (sporadic)	28931804	2017-09-20	13811	26325	0	40136	36234.261012557305	4
Androgen levels	22936694	2012-08-30	0	0	3225	3225	3225	5
Androstenedione levels	31169883	2019-06-06	0	0	2070	2070	2070	3
Anger	24489884	2014-01-01	0	0	8747	8747	8747	1
Angiotensin-converting enzyme activity	20066004	2010-01-12	400	0	0	400	400	2
Angiotensin-converting enzyme inhibitor intolerance	28030426	2017-03-27	0	0	5161	5161	5161	4
Ankle injury	28957384	2017-09-28	1696	97646	0	99342	6668.181272774858	2
Ankle-brachial index	22199011	2011-12-23	0	0	41692	41692	41692	1
Ankle-brachial index	31388106	2019-08-06	0	0	1437	1437	1437	2
Ankylosing spondylitis	20062062	2010-01-10	2053	5140	0	7193	5868.160711803142	5
Ankylosing spondylitis	21743469	2011-07-10	3023	8779	0	11802	8994.718522284358	10
Ankylosing spondylitis	22138694	2011-12-04	1837	4231	0	6068	5123.498352010546	2
Ankylosing spondylitis	23749187	2013-07-01	10619	15145	0	25764	24968.910883403194	44
Ankylosing spondylitis	30946743	2019-04-04	1343	1661	0	3004	2970.3368841544607	9
Ankylosing spondylitis (SNP x SNP interaction)	23749187	2013-07-01	9069	13578	0	22647	21749.261624056166	1
Annualised percent change of cerebrospinal fluid AB1-42 levels	31370031	2019-08-01	0	0	321	321	321	1
Anorexia nervosa	28494655	2017-05-12	3495	10982	0	14477	10604.98445810596	1
Anorexia nervosa	31308545	2019-07-15	16992	55525	0	72517	52041.91017278707	8
Anterior chamber depth	24603532	2014-03-06	0	0	4484	4484	4484	1
Anthropometric traits	30166351	2018-08-30	0	0	4988	4988	4988	12
Anthropometric traits (multi-trait analysis)	30166351	2018-08-30	0	0	4988	4988	4988	29
Anthropometric traits in newborns	23575227	2013-04-10	0	0	4281	4281	4281	3
Anti-Epstein-Barr virus nuclear antigen (EBNA) IgG levels	30053915	2018-07-27	0	0	914	914	914	1
Anti-Mullerian hormone levels in pre-menopausal women of late reproductive age	30649302	2019-01-14	0	0	3344	3344	3344	1
Anti-adalimumab antibody production in response to treatment in Crohn's disease	31043678	2019-05-02	9	53	0	62	30.7741935483871	1
